Tweet,Class
الوزير جبران باسيل تاج راسك يا جربان ممنوع بعد اليوم المساس بمقدساتنا من ربنا والهنا يسوع المسيح,Offensive
صديقي انت ابن جامعه اللعبه اكبر من داعش اللعبه سنيه شيعية واعادة توزيع ديموغرافي بسوريا,Non-Offensive
و مصلحة لبنان تبدأ باستخراج النفط و الغاز لوقف الشحادة و هذه نقطة ضعف لبنان ليبقى رهن سياسات اقليمية و… ,Non-Offensive
وليد جنبلاط كاتب الحكمة يا قذر ,Offensive
شو بتلبقلك كلمة خنزير بتجي مفصله على قياسك وشكلك    ,Offensive
يا جبران باسيل يا معلم يا ريس يا استاذ بدك حضن سوريا روح لعندون مبروك علك سلفا هالحضن انما الحلم لعبتحلمو عدمنا مراح يصير,Non-Offensive
ما سمعنا جعاركم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، نباح و عويل جيش ابو شحاطة وصل لقبرص,Offensive
نصيحة احكي مع الرئيس ميشال عون او هاجم جبران باسيل مليار دولار جابو من قطر شكرا قطر ,Non-Offensive
صافي يا بقر,Offensive
لا تعتب عليه هيدا اسمه ابو صرماي ,Offensive
لو الدولة تحترم نفسها كان انت يالبلطجي في السجن ,Offensive
مش عم يناموا الليل ليقدمولنا حكومة      ,Non-Offensive
يا عيبو عليكي يا إيران عم تحوي إرهابيين تعلمي من السعودية درسيهم عندك وبعتيهم لبرا,Offensive
هل تعرف مامعنى أن تدفع دولة نص مليار دولار لدولة أخرى مترنحة إقتصادياً وكانت تستطيع أن تستثمرهم… ,Non-Offensive
قنبلة ذزية يروحو فيها الاثنين معا افضل حل ,Offensive
مش جايي لعندك و على دولة الخلّفك و فيك تفل إذا مش عاجبك ,Non-Offensive
لو فعلا في دولة حضرتك كنت بالحبس هلق بس للاسف ,Non-Offensive
أووووووف السيد حسن يثبت صدق علاقته مع جبران باسيل بويكيليكس يلي خاطبوا أميركا بالعلن وبالسر خطاب آخر,Non-Offensive
يستاهلوا ,Non-Offensive
لا شرطي روسي يا ابن الستين كلب,Offensive
في مثل هذا اليوم وقبل ست سنوات قام تنظيم الدولة البراميلية بذبح الأطفال والنساء بالسكاكين وحرق بعضهم أحياء في بانياس لم…,Non-Offensive
ليش بتنطرب وبتسكر لمن بتجيب سيرة الحذاء يا زلمي مع إن كل واحد بفش خلقو ع ذوقو حسب مفهومو ثقافتو وعقلو… ,Offensive
